Kind,Name,PercentLackOfCohesion,AvgCyclomatic,SumCyclomatic,Essential,MaxNesting,MaxInheritanceTree,CountClassDerived,CountClassBase,CountClassCoupled,CountLineCode,CountLineComment,CountDeclMethod,CountDeclClass
Private Static Method,"br.ufc.pds.controller.ControlPagamentos.messageVendeuPagou",,,1,1,0,,,,,3,0,,
Protected Static Method,"br.ufc.pds.controller.ControlPagamentos.pagamento",,,1,1,0,,,,,4,0,,
Protected Static Method,"br.ufc.pds.controller.ControlPagamentos.pagarDividas",,,3,1,2,,,,,12,0,,
Protected Static Method,"br.ufc.pds.controller.ControlPagamentos.verifyPropriedade",,,3,1,2,,,,,15,0,,
Public Class,"br.ufc.pds.controller.ControlPrisao",57,1,13,,1,1,0,1,6,54,0,7,
Constructor,"br.ufc.pds.controller.ControlPrisao.ControlPrisao",,,1,1,0,,,,,4,0,,
Private Method,"br.ufc.pds.controller.ControlPrisao.cartaPrisao",,,1,1,0,,,,,3,0,,
Protected Method,"br.ufc.pds.controller.ControlPrisao.continuarPreso",,,1,1,0,,,,,6,0,,
Protected Method,"br.ufc.pds.controller.ControlPrisao.jogadorPresoRealizaTurno",,,4,1,1,,,,,12,0,,
Protected Method,"br.ufc.pds.controller.ControlPrisao.sairDaPrisaoCartasIguais",,,2,1,1,,,,,8,0,,
Protected Method,"br.ufc.pds.controller.ControlPrisao.sairDaPrisaoCoringa",,,2,1,1,,,,,8,0,,
Protected Method,"br.ufc.pds.controller.ControlPrisao.sairDaPrisaoPaga",,,2,1,1,,,,,9,0,,
Public Class,"br.ufc.pds.controller.ControlSorteOuReves",58,1,8,,1,1,0,2,1,59,0,6,
Private Constructor,"br.ufc.pds.controller.ControlSorteOuReves.ControlSorteOuReves",,,1,1,0,,,,,4,0,,
Private Method,"br.ufc.pds.controller.ControlSorteOuReves.criarCartas",,,1,1,0,,,,,30,0,,
Public Method,"br.ufc.pds.controller.ControlSorteOuReves.first",,,1,1,0,,,,,3,0,,
